datetime,interactions,distance_mm,user_flag
2026-07-01T18:55:48.067Z,12,67,false
2026-07-01T18:55:59.745Z,15,67,false
2026-07-01T18:56:04.376Z,16,67,false
2026-07-01T18:56:21.175Z,4,72,false
2026-07-01T18:56:22.063Z,7,72,false
2026-07-01T18:56:23.562Z,8,72,false
2026-07-01T18:56:24.438Z,10,72,false
2026-07-01T18:56:28.946Z,15,72,false
2026-07-01T18:56:44.244Z,29,72,false
2026-07-01T18:56:49.623Z,30,72,false
2026-07-01T18:56:50.241Z,31,72,false
2026-07-01T18:57:03.891Z,53,72,false
2026-07-01T18:57:04.519Z,58,72,false
2026-07-01T18:57:06.402Z,63,72,false
2026-07-01T18:57:07.269Z,67,72,false
2026-07-01T18:57:09.990Z,68,72,false
2026-07-01T18:57:26.688Z,6,72,false
2026-07-01T18:57:30.926Z,7,72,false
2026-07-01T18:57:31.808Z,8,72,false
2026-07-01T18:57:34.801Z,12,72,false
2026-07-01T18:57:49.132Z,24,73,false
2026-07-01T18:57:52.741Z,25,73,false
2026-07-01T18:58:07.687Z,49,72,false
2026-07-01T18:58:12.795Z,50,72,false
2026-07-01T18:58:13.685Z,51,72,false
2026-07-01T18:58:15.818Z,54,72,false
2026-07-01T18:58:16.696Z,58,72,false
2026-07-01T18:58:29.876Z,29,72,false
2026-07-01T18:58:31.376Z,30,72,false
2026-07-01T18:58:32.882Z,35,72,false
2026-07-01T18:58:34.392Z,39,72,false
2026-07-01T18:58:35.875Z,41,72,false
2026-07-01T18:58:37.373Z,46,72,false
2026-07-01T18:58:51.187Z,75,72,false
2026-07-01T18:58:52.061Z,79,72,false
2026-07-01T18:58:52.692Z,81,72,false
2026-07-01T18:58:55.065Z,82,72,false
2026-07-01T18:58:57.185Z,83,72,false
2026-07-01T18:58:58.064Z,84,72,false
2026-07-01T18:58:59.561Z,85,72,false
2026-07-01T18:59:12.722Z,86,72,false
2026-07-01T18:59:14.237Z,87,72,false
2026-07-01T18:59:18.721Z,92,72,false
2026-07-01T18:59:20.241Z,0,72,false
2026-07-01T18:59:34.021Z,6,71,false
2026-07-01T18:59:40.030Z,13,71,false
2026-07-01T18:59:54.078Z,37,71,false
2026-07-01T18:59:57.092Z,39,71,false
2026-07-01T19:00:00.682Z,43,71,false
2026-07-01T19:00:03.700Z,44,71,false
2026-07-01T19:00:16.258Z,49,71,false
2026-07-01T19:00:17.139Z,51,71,false
2026-07-01T19:00:18.632Z,53,71,false
2026-07-01T19:00:19.261Z,0,71,false
2026-07-01T19:00:20.146Z,2,71,false
2026-07-01T19:00:21.654Z,3,71,false
2026-07-01T19:00:24.041Z,5,71,false
2026-07-01T19:00:36.564Z,12,71,false
2026-07-01T19:00:41.564Z,13,71,false
2026-07-01T19:00:43.945Z,14,71,false
2026-07-01T19:00:44.568Z,15,71,false
2026-07-01T19:00:46.067Z,16,71,false
2026-07-01T19:00:58.728Z,28,71,false
2026-07-01T19:01:01.725Z,29,71,false
2026-07-01T19:01:06.233Z,30,71,false
2026-07-01T19:01:06.846Z,31,71,false
2026-07-01T19:01:20.032Z,1,71,false
2026-07-01T19:01:21.539Z,5,71,false
2026-07-01T19:01:23.916Z,8,71,false
